ID_KEY;OBL;NU;KMB
018;19;Бюджет с.Підвисоке;19301515000
018;20;Бюджет м. Люботин;20205100000
018;21;Бюждет с. Олександрівка;21302509000
018;22;с. Залужжя;22301509000
018;23;Бюджет с. Воронівка;23301504000
018;24;Бюджет с. Коритне;24301508000
018;25;Бюджет с. Крапивна;25301509000
019;01;Бюджет м.Керч;01206100000
019;02;ГАЇВСЬКА/С.ГАЙОВЕ;02301506000
019;03;Бюджет с. Лудин;03301511000
019;04;Бюджет м. Кривий Ріг;04205100000
019;06;Бюджет Забарської с\р;06301509000
019;07;Бюджет с.Чома;07301528000
019;08;Бюджет с.Атманай;08320501000
019;09;Бюджет с. Татарів;09205503000
019;10;Бюджет с. Веселинівка;10301502000
019;11;Бюджет с.Бандурівка;11316502000
019;13;Бюджет м. Червонограда;13209100000
019;14;Бюджет Любоіванівської сільської ради;14301506000
019;15;Бюджет м. Котовська;15205100000
019;16;БОРКОВСКИЙ/С.БОРКИ;16301503000
019;17;Бюджет с. Друхів;17301511000
019;18;Бюджет с.Гнилиця;18311505000
019;19;Бюджет с.Посухів;19301516000
019;20;Бюджет м. Первомайський;20206100000
019;21;Бюджет с. Надеждівка;21302508000
019;22;с. Йосипiвцi;22301510000
019;23;Бюджет с. В`язівок;23301505000
019;24;Бюджет с. Лукавці;24301509000
019;25;Бюджет с. Красилівка;25301507000
020;01;Бюджет м.Красноперекопськ;01207100000
020;02;ГАРМАКIВСЬКА/С.ГАРМАКИ;02301507000
020;03;Бюджет с. Микитичі;03301512000
020;04;Бюджет Дзержинського району;04205602000
020;06;Бюджет Зарубинецької с\р;06301510000
020;07;Бюджет с.Дийда;07301515000
020;08;Бюджет с.Володимирівка;08320502000
020;09;Бюджет с. Микуличин;09205501000
020;10;Бюджет с. Волошинівка;10301503000
020;11;Бюджет с.Войнівка;11316503000
020;13;Бюджет селище Гірник;13209401000
020;14;Бюджет Новогригорівської сільської ради;14301507000
020;15;Бюджет м. Теплодара;15206100000
020;16;БЕЛОЦЕРКОВСКИЙ/С.БЕЛОЦЕРКОВКА;16301502000
020;17;Бюджет с. Зірне;17301512000
020;18;Бюджет с.Грінченки;18311506000
020;19;Бюджет с.Потутори;19301517000
020;20;Бюджет м. Чугуїва;20207100000
020;21;Бюджет с. Дар``ївка;21302501000
020;22;с. Квiтневе;22301511000
020;23;Бюджет с. Дирдине;23301506000
020;24;Бюджет с. Мілієво;24301510000
020;25;Бюджет с. Красне;25301508000
021;01;Бюджет м.Саки;01208100000
021;02;ГУЛIВСЬКА/С.ГУЛI;02301508000
021;03;Бюджет с. Овадне;03301513000
021;04;Бюджет Довгинцівського району;04205607000
021;06;Бюджет іванківської с\р;06301511000
021;07;Бюджет с.Шом;07301529000
021;08;Бюджет с.М.Горького;08320507000
021;09;Бюджет с. Поляниця;09205502000
021;10;Бюджет с. Дернівка;10301504000
021;11;Бюджет с. Головківка;11316504000
021;13;Бюджет м.Соснівка;13209301000
021;14;Бюджет Новокраснівської сільської ради;14301508000
021;15;Бюджет м. Южного;15207100000
021;16;КОРНИЕНКОВСКИЙ/С.КОРНИЕНКИ;16301504000
021;17;Бюджет с. Кам`янка;17301513000
021;18;Бюджет с.Грунь;18311507000
021;19;Бюджет с.Божиків;19301502000
021;20;Бюджет Балаклійського р-ну;20301200000
021;21;Бюджет с. Дніпровське;21302502000
021;22;с. Коритне;22301512000
021;23;Бюджет с. Журавка;23301507000
021;24;Бюджет с. Мигово;24301511000
021;25;Бюджет с. Курінь;25301510000
022;01;Бюджет м.Армянська;01203100000
022;02;ЖУРАВЛIВСЬКА/С.ЖУРАВЛIВКА;02301509000
022;03;Бюджет с. П`ятидні;03301514000
022;04;Бюджет Жовтневого району;04205603000
022;05;Бюджет селища Гольма;05205401000
022;06;Бюджет івницької с\р;06301512000
022;07;Бюджет с.Бене;07301504000
022;08;Бюджет с.Давидівка;08320503000
022;09;Бюджет с. Яблуниця;09205504000
022;10;Бюджет с. Коржі;10301505000
022;11;Бюджет с.Дівоче Поле;11316505000
022;12;Бюджет селища Южна-Ломуватка;12204401000
022;13;Бюджет Бродівського р-ну;13301200000
022;14;Бюджет Новоселівської сільської ради;14301509000
022;15;Бюджет Ананьївського р-ну;15301200000
022;16;КРОТОВЩИНСКИЙ/С.КРОТОВЩИНА;16301505000
022;17;Бюджет с. Малинськ;17301514000
022;18;Бюджет с.Довжик;18311508000
022;19;Бюджет с.Рекшин;19301518000
022;20;Бюджет с. Балаклія;20301301000
022;21;Бюджет с. інгулець;21302503000
022;22;с. Кур``янки;22301513000
022;23;Бюджет с. Зелена Діброва;23301508000
022;24;Бюджет с. Слобода-Банилів;24301512000
022;25;Бюджет с. Матіївка;25301513000
023;01;Бюджет с.Суворове;01203501000
023;02;IВАНОВЕЦЬКА/С.IВАНIВЦI;02301510000
023;03;Бюджет с. Рогожани;03301515000
023;04;Бюджет інгулецького району;04205604000
023;05;Бюджет селища Зайцеве;05205402000
023;06;Бюджет Каменівської с\р;06301513000
023;07;Бюджет с.Запсонь;07301516000
023;08;Бюджет с.Н-Данилівка;08320504000
023;09;Бюджет Богородчанського р-ну;09301200000
023;10;Бюджет с. Корнієвка;10301506000
